Control_1 Control_2 Control_3 Control_4 dazl_1 dazl_2 dazl_3 dazl_4
ENSDARG00000000001 1.68893 1.84347 1.96497 2.06995 1.85729 2.6199 2.34971 2.28829
ENSDARG00000000002 1.14312 1.17295 2.02281 1.2194 2.74216 2.26752 1.69373 1.32414
ENSDARG00000000018 19.55791 19.89875 19.57325 15.51672 26.28261 24.62721 22.87721 24.32496
ENSDARG00000000019 12.5298 12.1709 23.3879 12.5497 35.0568 35.4412 29.103 24.5605
ENSDARG00000000068 5.167938 5.90841 7.43444 7.5562839 10.7476026 10.8014 10.273559 13.0292854
ENSDARG00000000069 60.240868 68.669672 83.75452 71.5408 110.085793 101.424 99.47399 102.9793
ENSDARG00000000086 3.586053 1.6368009 4.692919 1.663933 7.69481 7.341268 4.69859 3.92761
ENSDARG00000000103 27.132786 25.39838 31.020312 23.155111 46.248678 43.101432 37.856345 33.714492
ENSDARG00000000142 0.743733 0.552132 2.34836 0.831903 3.13439 3.25591 2.10759 2.11434
ENSDARG00000000151 2.743722 1.97029 1.5250455 1.4889 1.981677 2.514849 2.981424 3.048072
ENSDARG00000000161 1.111047 0.8286629 1.571305 0.6860523 0.974312 0.4470691 0.817857 0.7705636
ENSDARG00000000175 19.521 21.1212 17.9815 14.03 17.3658 18.7773 19.5776 19.0956
ENSDARG00000000183 3.53573 3.14973 3.3746924 2.43481 4.037675 4.1374 5.239326 6.347986
ENSDARG00000000189 2.07337 2.45294 2.0879804 1.72646 2.5038966 2.4072718 2.4928328 2.5016648
ENSDARG00000000212 126.562 140.539 175.551 154.799 139.143 146.206 166.784 150.494
ENSDARG00000000229 5.13384 5.33226 6.20039 4.92412 8.1877 8.85468 7.89168 7.11976
ENSDARG00000000241 9.87737 11.2281 10.9667 11.1841 18.1691 16.7275 14.3154 13.0456
ENSDARG00000000324 1.01157 0.373828 1.30929 0.638034 1.70665 1.77215 1.45033 1.53807
ENSDARG00000000349 0.470278 0.393986 0.326967 0.183735 1.0349 1.05888 0.337293 0.330738
ENSDARG00000000369 5.155681 4.724028 6.00518 6.294516 5.922244 7.36073 4.90233 4.4512708
ENSDARG00000000370 1.96596 1.21404 2.05272 0.904316 3.87581 3.71782 2.56599 1.72618
ENSDARG00000000380 2.2401615 1.3864454 2.081259 1.375432 1.190369 1.245777 1.8016035 1.5993301
ENSDARG00000000394 58.3659 40.8237 50.902 43.3654 65.2831 61.3 62.234 56.9416
ENSDARG00000000423 2.54956 2.4643014 2.9748971 2.6845773 4.24988 5.097728 2.4699086 4.27033
ENSDARG00000000442 8.27551 9.21192 15.0878 10.4215 17.9538 18.0405 12.7825 12.2462
ENSDARG00000000460 0 0 0 0 0.0199102 0.0192664 0.018924 0.0185518
ENSDARG00000000472 0.502742 0.394431 1.093388 0.5743328 3.36656 3.285887 1.151878 0.699807
ENSDARG00000000474 0 0.128657 0.0716942 0 0 0 0.147904 0
ENSDARG00000000476 2.5788 2.22121 2.58201 2.735 3.94777 3.07843 3.34902 2.9596186
ENSDARG00000000489 21.97731 18.014015 20.26559 17.733652 26.111881 24.838632 24.853583 25.24796
ENSDARG00000000503 6.19462 6.47933 9.2318 6.58814 12.0038 12.142 10.8989 8.32221
ENSDARG00000000516 0.416597 0.1972536 0.246855 0.183995 0.4883989 0.2135394 0.4343952 0.4407827
ENSDARG00000000529 6.30882 5.48802 7.51211 6.22521 8.89399 8.04613 8.81574 10.0253
ENSDARG00000000540 13.035849 12.54063245 12.7462142625 11.977805034 18.7333572734 17.37909204 17.38889059 17.604348
ENSDARG00000000542 8.74377 7.45593 8.9418987 8.5475 15.098203 13.908165 11.351355 16.093528
ENSDARG00000000551 4.88959 5.3976 11.727233 8.17113 13.78004 14.38367 8.86525 7.93657
ENSDARG00000000563 5.87629 6.29057 3.71475 3.68768 5.22964 6.83318 5.41257 3.71946
ENSDARG00000000567 12.6202 11.0709 12.8265 9.08999 18.2853 16.2554 16.473 15.2923
ENSDARG00000000568 7.74432 8.536049 8.5520031 6.454353 9.63149 9.89321 10.9576 16.51616
ENSDARG00000000588 4.94745 4.85727 8.91529 5.68436 8.81977 9.89095 8.59275 6.97913
ENSDARG00000000606 0.32786333 0.119514 0.868544 0.0512278 0.171648 0.4454205 0.5449167 0.2075812
ENSDARG00000000631 10.7033687 10.474008 9.914864 7.389262 11.41307 13.65677 12.1951586 11.0352552
ENSDARG00000000638 0.021581 0 0 0 0 0 0.024594 0
ENSDARG00000000651 1.48058 1.07191 1.77811 2.05415 3.42163 1.88192 3.0081 2.189
ENSDARG00000000656 0.423972 0.157817 0.465817 0.588774 0.695087 0.672724 1.11123 0.883444
ENSDARG00000000666 7.88584 8.24258 11.8359 12.4961 13.8676 12.1473 12.079 12.2703
ENSDARG00000000690 9.11596 9.55654 14.1713 11.5568 13.0714 16.6909 14.8026 13.3706
ENSDARG00000000729 13.685918 11.55316 14.688445 9.7568066 21.73603 21.1592 19.095748 24.78336
ENSDARG00000000730 2.195047 3.207092175432 2.9104770794806 2.760863858 3.1001560001218 3.631948 4.98575 5.7227466
ENSDARG00000000747 1.7874034 1.61825 2.18411 1.11277 3.1495184 3.20728 2.97179 2.405355
ENSDARG00000000760 7.95267 9.46313 9.76093 9.34484 11.4211 11.2043 12.5399 11.1191
ENSDARG00000000767 1.44579230042138 1.383842 1.421472 0.920429 1.59550260084 1.9494208 1.5473369 1.513815
ENSDARG00000000779 8.50269 10.9097 16.3621 14.4512 23.0492 22.9262 18.4801 15.8607
ENSDARG00000000796 3.147347 3.095675 3.757894 3.000803 3.718489 4.452306 3.918274 4.75937
ENSDARG00000000804 11.7814051 11.8896156 16.724647 13.982288 12.319497 12.357268 15.571467 11.950437
ENSDARG00000000830 5.80385 5.09943 7.68349 5.62523 9.46356 9.02768 7.05867 7.55046
ENSDARG00000000837 1.392753 1.10137 1.40332 0.931041 3.55751 3.067936 3.960048 3.772727
ENSDARG00000000853 28.52402 33.09448 30.85748 26.00729 36.35349 33.43449 35.39709 38.92543
ENSDARG00000000857 20.847438 24.397462 30.165016 25.4122318 32.990833 31.159825 30.328819 35.624837
ENSDARG00000000861 43.0529325 31.5001304 51.8587126 27.220101 76.96187 95.211301 51.06554 35.312827
ENSDARG00000000887 14.20975 23.467118 25.45088 21.09351 37.30039 35.00802 43.04066 79.33813
ENSDARG00000000906 2.99053 2.012852 2.56724 2.786347 1.954742 2.91939 4.11958 2.41959
ENSDARG00000000935 1.329088 1.023045 2.591638844926 1.1407464 4.29818 4.290508 3.135919 3.704621
