chr	start	end	length	nCG	meanMethy1	meanMethy2	diff.Methy	areaStat
22	38252970	38253694	725	40	0.245550261994907	0.938209391584959	-0.692659129590052	-1514.04688136048
22	38264239	38264838	600	21	0.178447259085371	0.921035876334645	-0.742588617249274	-759.396197364449
2	6701395	6701901	507	46	0.941011619993876	0.550414117835544	0.390597502158332	659.314285000522
16	1241624	1243453	1830	64	0.374389638797489	0.738899594552851	-0.364509955755362	-607.163351467777
6	53887202	53888033	832	55	0.27307441783925	0.71434540410729	-0.44127098626804	-544.19632134365
4	31960937	31961825	889	52	0.2708453315138	0.618270074091279	-0.347424742577479	-542.73339032863
16	684086	685013	928	54	0.767484409217105	0.441627814962291	0.325856594254815	528.116907699299
17	52703451	52704113	663	46	0.597908889927286	0.251053225057746	0.34685566486954	515.63978802908
7	47092836	47093432	597	46	0.599634835083961	0.253412407270406	0.346222427813555	499.591736286094
16	691891	693001	1111	48	0.64926409514239	0.317256095648238	0.332007999494152	487.94970228984
25	36321329	36321951	623	33	0.740242458278175	0.246808693775195	0.493433764502979	487.387780561561
21	39238599	39239016	418	39	0.392439730010234	0.922354512455421	-0.529914782445187	-481.738719079678
2	43701050	43701494	445	48	0.620797119181506	0.349596177528507	0.271200941652998	463.899054004358
10	28076179	28076678	500	39	0.842908003836373	0.49926996905262	0.343638034783753	454.918942793814
3	10973928	10974415	488	38	0.3963824492091	0.809524655396847	-0.413142206187747	-451.331993448158
18	12125539	12126983	1445	48	0.488728393146715	0.178382482167872	0.310345910978844	418.801249177557
16	52234081	52234859	779	39	0.406109012773307	0.819732611189459	-0.413623598416152	-405.379255890135
8	4577761	4578075	315	26	0.113339016308598	0.609807101447509	-0.496468085138911	-398.547673266944
16	52425103	52425805	703	49	0.637778604838291	0.321114395124814	0.316664209713477	386.841096904556
5	24316387	24317305	919	37	0.9100891352263	0.580207859523983	0.329881275702317	385.164022280973
4	52020109	52020535	427	33	0.952107167615799	0.476712458783295	0.475394708832504	384.169818086456
4	25626550	25627413	864	30	0.625954473149177	0.201175013684595	0.424779459464582	380.426169057097
4	29022375	29023285	911	36	0.887015099682998	0.478536994909398	0.4084781047736	377.769874045534
1	40169202	40169704	503	34	0.0594243437546791	0.343230583836154	-0.283806240081474	-374.651690674068
1	8152125	8152714	590	34	0.342384720005945	0.808512137111171	-0.466127417105227	-372.105307196584
3	16549824	16550162	339	40	0.454358535227004	0.762155065754694	-0.30779653052769	-370.312459465607
16	44269027	44269532	506	34	0.477417191727698	0.821016079894387	-0.34359888816669	-368.950530468365
18	24796417	24796815	399	41	0.169798317468106	0.453785102596595	-0.283986785128489	-368.562890889252
8	11023902	11024311	410	36	0.23917869958089	0.648596131438716	-0.409417431857826	-363.635079990123
19	3518559	3519032	474	38	0.531751685020963	0.24779273259249	0.283958952428474	363.128336038482
5	58360464	58360858	395	31	0.957438820285917	0.319301832734439	0.638136987551478	362.950368611498
2	45330798	45331536	739	35	0.880768443214541	0.264596371625833	0.616172071588708	362.695945870807
25	5963111	5963499	389	37	0.42051472134216	0.149056551420287	0.271458169921873	362.253201357783
15	11391130	11391640	511	37	0.472564106869519	0.785432953227838	-0.312868846358319	-359.097138351581
13	5488066	5488464	399	28	0.0949338212480215	0.475850569742669	-0.380916748494647	-357.6586603427
9	37955417	37955832	416	40	0.942896821189806	0.634844401865195	0.308052419324611	356.132364973029
10	44941456	44942134	679	32	0.153830088470783	0.537518280392724	-0.383688191921941	-354.520948492522
16	52696590	52697270	681	29	0.539476340398211	0.160010991235478	0.379465349162733	351.799369711574
6	57192992	57193420	429	36	0.289361250139508	0.619288986332096	-0.329927736192588	-344.439606476508
4	58298602	58299106	505	28	0.35408978710309	0.794214584127057	-0.440124797023966	-330.363762009341
3	12616634	12617143	510	32	0.349399357682281	0.634817524670851	-0.28541816698857	-326.177548126072
2	8494574	8495071	498	34	0.296220769082188	0.640528095510064	-0.344307326427876	-319.823030350187
7	30550048	30550607	560	34	0.897056058299019	0.564407223417727	0.332648834881293	319.642298781172
16	683309	683909	601	33	0.733036120308009	0.372404263707773	0.360631856600236	319.403225694536
16	40473989	40474443	455	31	0.39235615463509	0.711252691297512	-0.318896536662422	-318.969886077027
8	52997498	52998166	669	31	0.152631005653788	0.500413994101027	-0.347782988447239	-317.794153631134
4	24408698	24409242	545	30	0.732848377951519	0.392147502623389	0.34070087532813	317.601184685848
16	691121	691670	550	34	0.718220269136902	0.428303315132535	0.289916954004366	316.545283075785
20	54992657	54993078	422	32	0.567976551148695	0.916396219306243	-0.348419668157548	-314.233256944972
4	66616919	66617568	650	30	0.318461427949585	0.749136781256102	-0.430675353306517	-312.969423696697
2	19358098	19358504	407	29	0.913263389189237	0.644149114409063	0.269114274780174	312.485794315228
10	4980314	4980690	377	35	0.458848349327281	0.190963951399527	0.267884397927754	312.001671850288
8	6904524	6904833	310	30	0.700027289561207	0.354269954196856	0.345757335364351	310.492673988756
1	24368913	24369164	252	15	0.943798394200249	0.122205515860952	0.821592878339298	306.785933127892
6	18880794	18881290	497	38	0.827234853108173	0.372369338631605	0.454865514476568	305.019381989566
22	38257809	38258288	480	16	0.272827304062469	0.923183352070544	-0.650356048008074	-304.906717540326
15	39846690	39846906	217	31	0.351591805776938	0.81271129892407	-0.461119493147132	-301.945755713921
16	7656512	7656859	348	33	0.396791941867622	0.112364078987239	0.284427862880384	301.37834541829
10	40063384	40064013	630	31	0.76713613463629	0.405576232875545	0.361559901760745	301.249441489787
14	26870430	26870782	353	29	0.527915839521053	0.802923259197479	-0.275007419676426	-299.582202174213
13	164225	164737	513	25	0.948813583468297	0.565909478368619	0.382904105099678	299.230590863083
12	49104513	49104887	375	30	0.772502592514866	0.392865539359971	0.379637053154894	298.644539185872
19	38375100	38375567	468	30	0.295920449398454	0.581851369590682	-0.285930920192228	-297.69331728352
8	5206660	5207029	370	38	0.108707046202667	0.408411895903793	-0.299704849701126	-297.190239559995
4	58362578	58363049	472	24	0.333039992602323	0.832650825662056	-0.499610833059733	-294.881789379211
15	36185329	36185734	406	35	0.632788038256515	0.302619676488451	0.330168361768064	293.495014478778
25	28810181	28810742	562	32	0.17651353381069	0.47798796729678	-0.30147443348609	-292.589884293701
1	14319288	14319591	304	30	0.838214655517251	0.524507789930555	0.313706865586696	290.382266597631
11	15799681	15800196	516	31	0.51845788181803	0.856994352996716	-0.338536471178686	-290.216934373179
6	53360247	53360739	493	22	0.37447233873945	0.868623277995588	-0.494150939256139	-286.457903559887
4	60583547	60583889	343	33	0.513877481825247	0.877925678499032	-0.364048196673785	-285.192851977115
4	45065626	45066218	593	28	0.261777489772328	0.638194857740115	-0.376417367967787	-282.346046192085
1	29211615	29212098	484	26	0.639927896193184	0.334534309898704	0.30539358629448	279.201199090191
25	36451495	36452503	1009	32	0.647446077038908	0.29267961776694	0.354766459271967	276.475652985101
4	73672432	73672969	538	24	0.273440009341451	0.661375310427481	-0.38793530108603	-273.761416076421
10	26111335	26111843	509	30	0.404354621210131	0.715343095207755	-0.310988473997624	-271.290808539973
11	34212692	34212930	239	30	0.735441738707336	0.40896977750636	0.326471961200976	271.190261429033
5	54798180	54798439	260	26	0.867797101086755	0.50367101973039	0.364126081356364	268.869442821293
7	50447592	50448306	715	30	0.317270733239551	0.65867915613403	-0.341408422894479	-267.328662146354
4	54312439	54312905	467	27	0.453041063908133	0.805370780639703	-0.35232971673157	-267.236215645235
2	258862	259095	234	27	0.42603860031988	0.736711868199712	-0.310673267879832	-266.030395062054
2	16456398	16456913	516	31	0.322265609865695	0.603858073009416	-0.28159246314372	-265.193846774104
23	38329647	38329903	257	22	0.917385507641653	0.285897095083144	0.631488412558509	263.422710320872
16	258296	259060	765	28	0.273456304221203	0.67669944700892	-0.403243142787717	-262.35557122875
15	4941125	4941582	458	27	0.884305584495496	0.550330051071269	0.333975533424227	262.094314568662
2	14885731	14886308	578	28	0.233682912430192	0.554292395530562	-0.32060948310037	-261.286474775656
4	51324906	51325510	605	43	0.924774954800111	0.577883554404832	0.346891400395279	259.471598535998
3	10319485	10320325	841	29	0.788349350099854	0.484890989889602	0.303458360210252	259.153194323491
9	52332328	52332875	548	30	0.362819238259402	0.660788002710971	-0.297968764451569	-256.754562456659
10	28385580	28386072	493	39	0.533907716297118	0.230024315295487	0.303883401001631	255.971963827338
7	51016171	51016804	634	29	0.607891654789189	0.885632777589872	-0.277741122800683	-254.399802039068
4	53686498	53686970	473	28	0.926503440257937	0.594163898585316	0.33233954167262	253.052809704503
24	41406218	41406399	182	27	0.698675390090315	0.413215394293119	0.285459995797196	252.938002272795
8	34328330	34328820	491	29	0.329986637239554	0.665864235986806	-0.335877598747252	-251.753233370892
4	47404624	47404840	217	32	0.788126676763673	0.496437705193636	0.291688971570037	249.963841839005
8	5354757	5355495	739	26	0.274111162504175	0.610336786712224	-0.336225624208048	-248.698940742491
1	55144108	55144624	517	28	0.685776470520617	0.365886141536229	0.319890328984387	247.840103824022
4	25525039	25525384	346	31	0.458336652200915	0.748499328774183	-0.290162676573269	-247.467980361265
4	40489065	40489950	886	27	0.304586281741828	0.662372945598212	-0.357786663856383	-247.457178328612
23	26738571	26738965	395	31	0.698239393131768	0.415470719196532	0.282768673935236	247.037252187741
4	65869628	65870293	666	28	0.644350848873295	0.918225878318398	-0.273875029445103	-246.825858945319
15	4020718	4021015	298	35	0.504949370657647	0.796489020284123	-0.291539649626476	-244.985958446463
8	5039285	5039843	559	20	0.951093713077188	0.545095425383795	0.405998287693393	242.870723601126
8	46060404	46060911	508	28	0.31701667132302	0.651000768121618	-0.333984096798597	-242.240261558141
3	22000373	22001096	724	29	0.335790358412298	0.696339518525851	-0.360549160113553	-239.466096165096
14	19546886	19547196	311	31	0.448374233677108	0.776886076495774	-0.328511842818666	-239.455598406544
22	23002362	23002531	170	14	0.954768669842047	0.134436565472191	0.820332104369857	239.067980929956
5	22464935	22465462	528	24	0.589092308425852	0.895830762033032	-0.30673845360718	-238.734960180066
5	12515291	12515694	404	23	0.489256409021812	0.901426743901006	-0.412170334879194	-238.283518090353
6	4601633	4602167	535	29	0.492294054811452	0.912452692479113	-0.42015863766766	-237.862002728695
4	58575590	58575806	217	31	0.931464568146835	0.617614021292392	0.313850546854443	237.375582685317
2	51059038	51059448	411	25	0.608970303462538	0.880462125412736	-0.271491821950198	-235.437758296354
16	48588389	48589008	620	34	0.276894414982251	0.589005517453092	-0.312111102470841	-234.188762148309
1	1126289	1126902	614	29	0.450487565781055	0.779979198463837	-0.329491632682782	-233.41182439654
21	6953403	6954017	615	28	0.416049619946711	0.804100756369535	-0.388051136422824	-233.351484122487
8	10898463	10899014	552	25	0.738360625800318	0.415482338038219	0.322878287762099	230.382024504131
2	51086452	51086844	393	23	0.563819780584644	0.876370376053078	-0.312550595468434	-230.183662938054
4	74540219	74540790	572	24	0.921388861559575	0.592781777857039	0.328607083702536	229.605472615861
4	56436406	56436756	351	23	0.885287577607188	0.426975697733098	0.45831187987409	228.984156226449
10	11125102	11125558	457	25	0.512983040463396	0.188403178374024	0.324579862089372	228.07218770129
18	38496126	38496494	369	31	0.606833257769739	0.273548715754882	0.333284542014857	226.868024133077
12	16943218	16943517	300	27	0.863952561291353	0.605429465499025	0.258523095792328	224.849669820991
7	49901258	49901992	735	23	0.364592177488726	0.700743697520869	-0.336151520032144	-222.699753538577
6	40250790	40251258	469	24	0.362587718303013	0.686047021215679	-0.323459302912665	-221.610236090527
8	9199095	9199860	766	25	0.818972801609944	0.478027351204191	0.340945450405752	221.373869616198
12	27196612	27197129	518	22	0.364686477633812	0.699761151731981	-0.335074674098169	-220.484543151293
22	38260049	38260600	552	16	0.350428798073675	0.913464228596535	-0.56303543052286	-220.184353277017
25	27226602	27226947	346	23	0.13659837666549	0.5555096369559	-0.41891126029041	-219.911099397356
8	1863196	1863848	653	27	0.403766350928272	0.709107633963467	-0.305341283035195	-219.808865699854
21	4493922	4494411	490	28	0.476787453618365	0.898250509176453	-0.421463055558087	-219.244165333024
8	41739580	41740095	516	23	0.340489694103896	0.646247430204327	-0.305757736100431	-219.174677010402
25	26250041	26250257	217	31	0.518892950712185	0.846334129814387	-0.327441179102202	-218.90979834317
13	14077874	14078109	236	27	0.463114380678522	0.730849964944557	-0.267735584266035	-218.731082230188
1	2096047	2096665	619	24	0.653661980150507	0.307824516930204	0.345837463220303	218.5971191513
4	57642112	57642593	482	24	0.826467527209722	0.526688478253048	0.299779048956675	218.003289285884
6	30462706	30463165	460	24	0.518176591440227	0.813817685111547	-0.29564109367132	-217.302443237153
8	35463199	35463629	431	17	0.936793144458968	0.561176594867818	0.37561654959115	217.230577535749
4	29671619	29671884	266	27	0.928867657100303	0.6329330050897	0.295934652010603	216.720530938183
17	21856600	21856898	299	23	0.810933401130417	0.326195766680534	0.484737634449883	215.788974425872
13	158953	159470	518	22	0.963672367142878	0.650073807810186	0.313598559332692	215.219629525857
4	27499676	27500004	329	22	0.406930487484772	0.786585429909494	-0.379654942424722	-214.973887378623
20	34283932	34284219	288	28	0.404887355552509	0.687313966578257	-0.282426611025747	-214.911719135249
4	42530463	42530886	424	19	0.842076554549576	0.396550968762761	0.445525585786815	213.786243310008
3	31621645	31622069	425	23	0.081248115332163	0.35481864507144	-0.273570529739277	-212.602189440476
2	10771677	10772295	619	24	0.706571670063432	0.373390853920135	0.333180816143297	212.124353162308
19	39354707	39355092	386	24	0.240652607863243	0.534897373271739	-0.294244765408496	-211.37972607252
15	9731100	9731398	299	30	0.756820810621087	0.451819002272283	0.305001808348804	211.058685664215
18	1434101	1434521	421	22	0.725069881868875	0.382273009212342	0.342796872656534	210.867699038894
5	67182100	67182641	542	19	0.779117427209809	0.330437190116305	0.448680237093505	210.610570758725
8	7298729	7299061	333	26	0.295841331516711	0.60562858212805	-0.309787250611339	-210.338427679996
8	5976047	5976428	382	20	0.900239915136881	0.592609000123234	0.307630915013648	210.307265455008
3	52754944	52755325	382	25	0.621090281399766	0.874473641431107	-0.253383360031341	-209.83633522316
1	20965686	20966026	341	22	0.907541198179678	0.62572564548517	0.281815552694508	209.276643985803
11	38109154	38109537	384	26	0.632644442502562	0.325133698746082	0.30751074375648	209.208974737831
24	36490429	36490756	328	26	0.695683488320804	0.430242673194666	0.265440815126138	208.553526528502
12	28706058	28706485	428	21	0.906450148038426	0.597239696311617	0.309210451726809	208.19736420901
5	51247501	51247720	220	23	0.908100975191041	0.604268702419903	0.303832272771138	207.798407928387
1	18222304	18222728	425	22	0.639213616748285	0.265729112502796	0.373484504245489	207.398139073482
4	69253619	69253729	111	21	0.74740063848257	0.443589117747857	0.303811520734713	207.265091695073
4	51517932	51518267	336	24	0.567819129591931	0.286937489419898	0.280881640172033	206.500042887379
4	8402898	8403402	505	22	0.866458976587442	0.537237625360006	0.329221351227436	205.766446317539
3	33049261	33049572	312	26	0.218415728657826	0.474746709697647	-0.256330981039821	-205.353068200135
6	19259187	19259739	553	18	0.419987669388728	0.901712034688311	-0.481724365299582	-204.694037254418
5	64164016	64164468	453	16	0.876764941286006	0.446292228917958	0.430472712368049	203.783017864443
8	9207667	9208207	541	17	0.130250722946204	0.520439035306769	-0.390188312360564	-203.149374867183
11	35112161	35112315	155	23	0.535285685693118	0.853785375408756	-0.318499689715638	-202.801741745285
17	20863435	20863787	353	16	0.207460488639943	0.797482139291237	-0.590021650651294	-202.552430433612
19	12587655	12588220	566	21	0.864219853593474	0.540295408421006	0.323924445172468	202.285234816381
19	25290662	25290987	326	25	0.392932260806335	0.666695803026151	-0.273763542219815	-202.051292180521
8	4250581	4250915	335	19	0.115117587411085	0.424472992121439	-0.309355404710355	-201.947554430808
4	8817408	8817700	293	19	0.537864368339815	0.854327798659661	-0.316463430319846	-201.112728955474
2	50651622	50651983	362	22	0.319002191928806	0.625543663730888	-0.306541471802082	-200.995515836859
18	12715471	12715980	510	26	0.907544318416251	0.577921463503526	0.329622854912725	200.893945241018
13	13668581	13668700	120	23	0.283652649018642	0.636876487907891	-0.353223838889249	-200.147434221023
13	94189	94465	277	23	0.466463589219083	0.804939265912272	-0.338475676693189	-199.580094349336
10	21650926	21651352	427	21	0.657889576979965	0.358005536675827	0.299884040304138	199.514922208871
18	6086274	6086578	305	20	0.899674473749137	0.620834262090968	0.278840211658169	198.817999064346
25	37132598	37133284	687	22	0.723058610461208	0.361369761003324	0.361688849457884	198.343755370582
6	17312464	17312961	498	27	0.268413727692191	0.600246754220863	-0.331833026528673	-198.214789182305
3	4309159	4309543	385	30	0.386578004421911	0.712333273692715	-0.325755269270804	-197.857822223207
22	8964650	8964863	214	24	0.409428921621387	0.156243915145423	0.253185006475964	197.773285483767
25	661191	661544	354	26	0.219338739447891	0.510409548063643	-0.291070808615752	-197.25377186003
21	29196803	29197724	922	27	0.322890384066277	0.787196306212118	-0.464305922145841	-196.294320117015
10	39235288	39235700	413	20	0.622087143156606	0.234599641431906	0.3874875017247	195.690528746133
10	44546570	44547152	583	21	0.802651552080471	0.487829076036752	0.314822476043719	195.541543440913
12	47674745	47675149	405	22	0.36028070084388	0.689292774422602	-0.329012073578722	-194.835016439863
8	43815146	43815610	465	22	0.319098526117353	0.640065858425541	-0.320967332308187	-194.582091941902
24	13780798	13781203	406	26	0.603352790152284	0.333791451033967	0.269561339118317	193.512889687142
8	5057913	5058760	848	21	0.936633899593084	0.658551357565823	0.278082542027261	193.500060557653
19	38373914	38374130	217	21	0.198540905236368	0.482691903017129	-0.284150997780761	-193.357583476569
25	15518993	15519343	351	23	0.370551591942896	0.636990852425969	-0.266439260483073	-192.752147885043
10	8641390	8641648	259	17	0.905650007216507	0.304974542142091	0.600675465074416	191.67056466323
7	30628232	30628561	330	23	0.625017814283586	0.924605054011401	-0.299587239727814	-191.074410147715
14	1972875	1973270	396	24	0.190654795547943	0.579338289664066	-0.388683494116123	-190.773808424961
19	2407005	2407313	309	24	0.503545666066137	0.782098361856027	-0.27855269578989	-190.692532977045
3	5567898	5568278	381	27	0.826975157845574	0.505019818860905	0.321955338984669	190.474847342071
24	16008463	16008943	481	21	0.195359377431527	0.550566087834341	-0.355206710402814	-189.133073473788
3	20941373	20941753	381	30	0.66073207278981	0.325158687807248	0.335573384982562	188.833472223044
7	30223840	30224245	406	24	0.593025964522103	0.869437321897439	-0.276411357375337	-188.772290238665
5	47106923	47107293	371	20	0.557131273484774	0.910593797519288	-0.353462524034514	-187.376482907905
3	56628112	56628313	202	27	0.787186238392574	0.407163828424317	0.380022409968257	186.895165167807
25	12359826	12360231	406	19	0.484300171270678	0.143186887801194	0.341113283469484	186.574289689333
17	10028847	10029183	337	21	0.655864653723427	0.346194063639378	0.309670590084049	186.394766643309
4	73973133	73973535	403	19	0.766080997547977	0.313488122980092	0.452592874567885	186.354725957586
19	7725279	7725582	304	21	0.806519369240897	0.501510650798839	0.305008718442058	185.837561066388
1	54766618	54766975	358	21	0.657080382204098	0.371193213549095	0.285887168655004	185.309926923773
4	72928360	72928744	385	17	0.277067286244085	0.645065473139757	-0.367998186895672	-185.116122987761
9	52551475	52551765	291	18	0.431971858067611	0.749715704358897	-0.317743846291286	-184.685116773355
4	59780749	59781067	319	19	0.214572132353315	0.632540023577871	-0.417967891224556	-184.365811047973
1	31876927	31877273	347	20	0.923881835121638	0.631591668681846	0.292290166439792	184.32855766459
